timestamp,n_estimators,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 15:41:39,20,10,5,7,0.8446,0.8548,34.96
2025-10-31 15:42:15,20,10,5,8,0.8083,0.7856,36.58
2025-10-31 15:42:52,20,10,5,9,0.8342,0.85,36.34
2025-10-31 15:43:26,20,10,5,10,0.8653,0.854,34.56
2025-10-31 15:44:05,20,10,10,1,0.8402,0.8463,38.9
2025-10-31 15:44:40,20,10,10,2,0.9072,0.9008,34.6
2025-10-31 15:45:15,20,10,10,3,0.866,0.8575,35.77
2025-10-31 15:45:50,20,10,10,4,0.8454,0.8471,34.59
2025-10-31 15:46:24,20,10,10,5,0.866,0.8559,34.16
2025-10-31 15:47:02,20,10,10,6,0.8402,0.841,37.29
2025-10-31 15:47:40,20,10,10,7,0.8446,0.8525,38.13
2025-10-31 15:48:15,20,10,10,8,0.8031,0.7776,35.56
2025-10-31 15:48:50,20,10,10,9,0.8083,0.8221,34.34
2025-10-31 15:49:24,20,10,10,10,0.8342,0.8241,33.81
2025-10-31 15:50:01,20,15,2,1,0.8299,0.8376,37.76
2025-10-31 15:50:38,20,15,2,2,0.8402,0.8314,36.68
2025-10-31 15:51:17,20,15,2,3,0.8866,0.8804,38.71
2025-10-31 15:51:58,20,15,2,4,0.8454,0.8464,40.8
2025-10-31 15:52:36,20,15,2,5,0.8505,0.8403,38.66
2025-10-31 15:53:15,20,15,2,6,0.8763,0.8766,39.13
2025-10-31 15:53:54,20,15,2,7,0.8549,0.8641,38.17
2025-10-31 15:54:36,20,15,2,8,0.8601,0.8482,42.55
2025-10-31 15:55:14,20,15,2,9,0.8549,0.8696,37.71
2025-10-31 15:55:53,20,15,2,10,0.8135,0.7992,39.13
2025-10-31 15:56:31,20,15,5,1,0.866,0.874,38.19
2025-10-31 15:57:09,20,15,5,2,0.8814,0.8773,38.08
2025-10-31 15:57:47,20,15,5,3,0.8711,0.8629,37.08
2025-10-31 15:58:26,20,15,5,4,0.7938,0.7937,39.58
2025-10-31 15:59:06,20,15,5,5,0.866,0.8545,39.76
2025-10-31 15:59:45,20,15,5,6,0.9021,0.9019,39.09
2025-10-31 16:00:24,20,15,5,7,0.8394,0.851,39.0
2025-10-31 16:01:04,20,15,5,8,0.8549,0.8424,40.03
2025-10-31 16:01:45,20,15,5,9,0.8446,0.8587,41.07
2025-10-31 16:02:26,20,15,5,10,0.8497,0.8398,40.66
2025-10-31 16:03:06,20,15,10,1,0.8144,0.8242,40.16
2025-10-31 16:03:48,20,15,10,2,0.8763,0.8715,41.71
2025-10-31 16:04:26,20,15,10,3,0.8608,0.8543,37.61
2025-10-31 16:05:01,20,15,10,4,0.8144,0.8151,35.28
2025-10-31 16:05:36,20,15,10,5,0.8763,0.8665,35.4
2025-10-31 16:06:12,20,15,10,6,0.8763,0.8757,35.67
2025-10-31 16:06:47,20,15,10,7,0.8394,0.8464,34.75
2025-10-31 16:07:23,20,15,10,8,0.8083,0.7876,36.55
2025-10-31 16:07:59,20,15,10,9,0.8601,0.8665,35.61
2025-10-31 16:08:35,20,15,10,10,0.8238,0.8124,36.47
2025-10-31 16:09:13,20,20,2,1,0.8505,0.8577,37.96
2025-10-31 16:09:52,20,20,2,2,0.8763,0.8694,38.38
2025-10-31 16:10:33,20,20,2,3,0.8918,0.888,41.49
2025-10-31 16:11:12,20,20,2,4,0.8247,0.8245,38.51
2025-10-31 16:11:54,20,20,2,5,0.8814,0.8733,42.5
2025-10-31 16:12:34,20,20,2,6,0.8918,0.8912,39.73
2025-10-31 16:13:13,20,20,2,7,0.8238,0.8355,38.73
2025-10-31 16:13:50,20,20,2,8,0.8394,0.8258,36.89
2025-10-31 16:14:32,20,20,2,9,0.8549,0.8676,41.63
2025-10-31 16:15:09,20,20,2,10,0.829,0.8164,37.11
2025-10-31 16:15:51,20,20,5,1,0.8608,0.8674,41.83
2025-10-31 16:16:29,20,20,5,2,0.8969,0.8929,38.39
2025-10-31 16:17:11,20,20,5,3,0.8608,0.8515,41.94
2025-10-31 16:17:49,20,20,5,4,0.8299,0.8322,38.29
2025-10-31 16:18:31,20,20,5,5,0.8711,0.8621,41.5
2025-10-31 16:19:09,20,20,5,6,0.8505,0.8506,37.93
2025-10-31 16:19:47,20,20,5,7,0.8187,0.8289,38.0
2025-10-31 16:20:26,20,20,5,8,0.8135,0.7988,39.37
2025-10-31 16:21:04,20,20,5,9,0.8394,0.852,37.48
