timestamp,max_depth,min_samples_split,fold,acc,f1,time
2025-10-30 21:09:01,7,7,7,0.8394,0.83,0.02
2025-10-30 21:09:01,7,7,8,0.8031,0.7952,0.01
2025-10-30 21:09:01,7,7,9,0.8083,0.8049,0.01
2025-10-30 21:09:01,7,7,10,0.8549,0.8518,0.02
2025-10-30 21:09:01,7,10,1,0.7784,0.7658,0.02
2025-10-30 21:09:01,7,10,2,0.8144,0.8126,0.01
2025-10-30 21:09:01,7,10,3,0.7938,0.7891,0.01
2025-10-30 21:09:01,7,10,4,0.8454,0.8374,0.02
2025-10-30 21:09:01,7,10,5,0.8041,0.799,0.02
2025-10-30 21:09:01,7,10,6,0.7887,0.7841,0.01
2025-10-30 21:09:01,7,10,7,0.8342,0.8253,0.01
2025-10-30 21:09:01,7,10,8,0.8031,0.7956,0.01
2025-10-30 21:09:01,7,10,9,0.7979,0.7936,0.02
2025-10-30 21:09:01,7,10,10,0.8342,0.8311,0.01
2025-10-30 21:09:01,10,2,1,0.7835,0.7756,0.01
2025-10-30 21:09:01,10,2,2,0.8299,0.8304,0.02
2025-10-30 21:09:01,10,2,3,0.8093,0.807,0.02
2025-10-30 21:09:01,10,2,4,0.8557,0.851,0.02
2025-10-30 21:09:01,10,2,5,0.8144,0.8097,0.02
2025-10-30 21:09:01,10,2,6,0.8196,0.8164,0.03
2025-10-30 21:09:01,10,2,7,0.8342,0.8292,0.02
2025-10-30 21:09:02,10,2,8,0.829,0.8259,0.02
2025-10-30 21:09:02,10,2,9,0.8187,0.8151,0.02
2025-10-30 21:09:02,10,2,10,0.8549,0.8526,0.02
2025-10-30 21:09:02,10,5,1,0.7938,0.7865,0.02
2025-10-30 21:09:02,10,5,2,0.8351,0.835,0.02
2025-10-30 21:09:02,10,5,3,0.799,0.7974,0.01
2025-10-30 21:09:02,10,5,4,0.8454,0.8393,0.01
2025-10-30 21:09:02,10,5,5,0.7835,0.7799,0.01
2025-10-30 21:09:02,10,5,6,0.8196,0.8169,0.02
2025-10-30 21:09:02,10,5,7,0.8238,0.8176,0.02
2025-10-30 21:09:02,10,5,8,0.8031,0.801,0.02
2025-10-30 21:09:02,10,5,9,0.8135,0.81,0.02
2025-10-30 21:09:02,10,5,10,0.8497,0.8471,0.02
2025-10-30 21:09:02,10,7,1,0.8093,0.805,0.02
2025-10-30 21:09:02,10,7,2,0.8351,0.8342,0.02
2025-10-30 21:09:02,10,7,3,0.799,0.7975,0.03
2025-10-30 21:09:02,10,7,4,0.8557,0.8487,0.01
2025-10-30 21:09:02,10,7,5,0.7887,0.7859,0.02
2025-10-30 21:09:02,10,7,6,0.8093,0.8068,0.02
2025-10-30 21:09:02,10,7,7,0.8135,0.8058,0.02
2025-10-30 21:09:02,10,7,8,0.8083,0.8064,0.01
2025-10-30 21:09:02,10,7,9,0.8083,0.8064,0.02
2025-10-30 21:09:02,10,7,10,0.8705,0.8663,0.02
2025-10-30 21:09:02,10,10,1,0.7835,0.775,0.02
2025-10-30 21:09:02,10,10,2,0.8299,0.8283,0.02
2025-10-30 21:09:02,10,10,3,0.7938,0.7917,0.02
2025-10-30 21:09:02,10,10,4,0.8557,0.8498,0.02
2025-10-30 21:09:02,10,10,5,0.7784,0.7749,0.02
2025-10-30 21:09:02,10,10,6,0.799,0.7966,0.02
